"tick","Remaining Humans","Remaining Zombies"
1.0,1,150
2.0,2,150
3.0,2,150
4.0,3,150
5.0,3,150
6.0,4,150
7.0,4,150
8.0,5,150
9.0,6,150
10.0,6,150
11.0,7,150
12.0,7,150
13.0,8,150
14.0,9,150
15.0,9,150
16.0,10,150
17.0,10,150
18.0,11,150
19.0,12,150
20.0,12,150
21.0,13,150
22.0,13,150
23.0,13,150
24.0,14,150
25.0,14,150
26.0,15,150
27.0,16,150
28.0,16,150
29.0,17,150
30.0,17,150
31.0,18,150
32.0,18,150
33.0,19,150
34.0,19,150
35.0,20,150
36.0,20,150
37.0,20,150
38.0,21,150
39.0,22,150
40.0,23,150
41.0,23,150
42.0,23,150
43.0,24,150
44.0,24,150
45.0,25,150
46.0,25,150
47.0,26,150
48.0,27,150
49.0,27,150
50.0,28,150
51.0,28,150
52.0,28,150
53.0,29,150
54.0,30,150
55.0,30,150
56.0,30,150
57.0,31,150
58.0,31,150
59.0,32,150
60.0,32,150
61.0,33,150
62.0,34,150
63.0,34,150
64.0,35,150
65.0,35,150
66.0,35,150
67.0,35,150
68.0,35,150
69.0,35,150
70.0,35,150
71.0,35,150
72.0,35,150
73.0,35,150
74.0,35,150
75.0,35,150
76.0,35,150
77.0,35,150
78.0,36,150
79.0,37,150
80.0,37,150
81.0,37,150
82.0,37,150
83.0,37,150
84.0,37,150
85.0,37,150
86.0,37,150
87.0,37,150
88.0,37,150
89.0,37,150
90.0,37,150
91.0,37,150
92.0,37,150
93.0,37,150
94.0,37,150
95.0,37,150
96.0,37,150
97.0,37,150
98.0,37,150
99.0,37,150
100.0,37,150
101.0,38,150
102.0,38,150
103.0,38,150
104.0,39,150
105.0,40,150
106.0,40,150
107.0,40,150
108.0,41,150
109.0,41,150
110.0,42,150
111.0,42,150
112.0,43,150
113.0,43,150
114.0,43,150
115.0,43,150
116.0,43,150
117.0,43,150
118.0,43,150
119.0,43,150
120.0,43,150
121.0,43,150
122.0,43,150
123.0,43,150
124.0,43,150
125.0,43,150
126.0,43,150
127.0,43,150
128.0,43,150
129.0,44,150
130.0,44,150
131.0,45,150
132.0,46,150
133.0,46,150
134.0,46,150
135.0,47,150
136.0,48,150
137.0,48,150
138.0,48,150
139.0,49,150
140.0,50,150
141.0,50,150
142.0,50,150
143.0,51,150
144.0,51,150
145.0,52,150
146.0,52,150
147.0,53,150
148.0,54,150
149.0,54,150
150.0,54,150
151.0,55,150
152.0,56,150
153.0,56,150
154.0,56,150
155.0,57,150
156.0,57,150
157.0,58,150
158.0,58,150
159.0,59,150
160.0,60,150
161.0,60,150
162.0,61,150
163.0,61,150
164.0,62,150
165.0,62,150
166.0,62,150
167.0,63,150
168.0,63,150
169.0,64,150
170.0,65,150
171.0,65,150
172.0,65,150
173.0,65,150
174.0,65,150
175.0,65,150
176.0,65,150
177.0,65,150
178.0,65,150
179.0,65,150
180.0,65,150
181.0,65,150
182.0,65,150
183.0,65,150
184.0,66,150
185.0,67,150
186.0,67,150
187.0,67,150
188.0,67,150
189.0,67,150
190.0,67,150
191.0,67,150
192.0,67,150
193.0,67,150
194.0,67,150
195.0,67,150
196.0,67,150
197.0,67,150
198.0,67,150
199.0,67,150
200.0,67,150
201.0,67,150
202.0,67,150
203.0,67,150
204.0,67,150
205.0,67,150
206.0,67,150
207.0,68,150
208.0,68,150
209.0,69,150
210.0,69,150
211.0,70,150
212.0,70,150
213.0,71,150
214.0,72,150
215.0,72,150
216.0,72,150
217.0,73,150
218.0,73,150
219.0,73,150
220.0,73,150
221.0,73,150
222.0,73,150
223.0,73,150
224.0,73,150
225.0,73,150
226.0,73,150
227.0,73,150
228.0,73,150
229.0,73,150
230.0,73,150
231.0,73,150
232.0,73,150
233.0,73,150
234.0,74,150
235.0,75,150
236.0,75,150
237.0,75,150
238.0,76,150
239.0,77,150
240.0,77,150
241.0,78,150
242.0,79,150
243.0,79,150
244.0,80,150
245.0,80,150
246.0,81,150
247.0,81,150
248.0,82,150
249.0,83,150
250.0,83,150
251.0,83,150
252.0,84,150
253.0,85,150
254.0,85,150
255.0,86,150
256.0,86,150
257.0,87,150
258.0,87,150
259.0,88,150
260.0,88,150
261.0,89,150
262.0,89,150
263.0,90,150
264.0,91,150
265.0,91,150
266.0,92,150
267.0,92,150
268.0,92,150
269.0,93,150
270.0,93,150
271.0,94,150
272.0,95,150
273.0,95,150
274.0,95,150
275.0,95,150
276.0,95,150
277.0,95,150
278.0,95,150
279.0,95,150
280.0,95,150
281.0,95,150
282.0,95,150
283.0,95,150
284.0,95,150
285.0,95,150
286.0,96,150
287.0,97,150
288.0,97,150
289.0,97,150
290.0,97,150
291.0,97,150
292.0,97,150
293.0,97,150
294.0,97,150
295.0,97,150
296.0,97,150
297.0,97,150
298.0,97,150
299.0,97,150
300.0,97,150
301.0,97,150
302.0,97,150
303.0,97,150
304.0,97,150
305.0,97,150
306.0,97,150
307.0,97,150
308.0,97,150
309.0,97,150
310.0,98,150
311.0,98,150
312.0,98,150
313.0,99,150
314.0,100,150
315.0,100,150
316.0,101,150
317.0,101,150
318.0,101,150
319.0,102,150
320.0,102,150
321.0,103,150
322.0,103,150
323.0,103,150
324.0,103,150
325.0,103,150
326.0,103,150
327.0,103,150
328.0,103,150
329.0,103,150
330.0,103,150
331.0,103,150
332.0,103,150
333.0,103,150
334.0,103,150
335.0,103,150
336.0,104,150
337.0,105,150
338.0,106,150
339.0,106,150
340.0,106,150
341.0,106,150
342.0,107,150
343.0,107,150
344.0,108,150
345.0,108,150
346.0,109,150
347.0,110,150
348.0,110,150
349.0,110,150
350.0,111,150
351.0,112,150
352.0,112,150
353.0,112,150
354.0,113,150
355.0,113,150
356.0,114,150
357.0,114,150
358.0,115,150
359.0,115,150
360.0,116,150
361.0,117,150
362.0,118,150
363.0,118,150
364.0,118,150
365.0,118,150
366.0,119,150
367.0,119,150
368.0,120,150
369.0,120,150
370.0,121,150
371.0,121,150
372.0,122,150
373.0,122,150
374.0,123,150
375.0,124,150
376.0,124,150
377.0,125,150
378.0,125,150
379.0,125,150
380.0,125,150
381.0,125,150
382.0,125,150
383.0,125,150
384.0,125,150
385.0,125,150
386.0,125,150
387.0,125,150
388.0,125,150
389.0,126,150
390.0,126,150
391.0,126,150
392.0,127,150
393.0,127,150
394.0,127,150
395.0,127,150
396.0,127,150
