"tick","Remaining Humans","Remaining Zombies"
1.0,1,150
2.0,2,150
3.0,2,150
4.0,3,150
5.0,4,150
6.0,5,150
7.0,5,150
8.0,5,150
9.0,6,150
10.0,6,150
11.0,7,150
12.0,7,150
13.0,8,150
14.0,8,150
15.0,9,150
16.0,10,150
17.0,11,150
18.0,11,150
19.0,12,150
20.0,12,150
21.0,12,150
22.0,12,150
23.0,13,150
24.0,14,150
25.0,14,150
26.0,14,150
27.0,15,150
28.0,16,150
29.0,16,150
30.0,16,150
31.0,17,150
32.0,18,150
33.0,18,150
34.0,19,150
35.0,19,150
36.0,20,150
37.0,21,150
38.0,21,150
39.0,22,150
40.0,22,150
41.0,22,150
42.0,23,150
43.0,24,150
44.0,24,150
45.0,25,150
46.0,25,150
47.0,26,150
48.0,26,150
49.0,27,150
50.0,28,150
51.0,28,150
52.0,29,150
53.0,29,150
54.0,30,150
55.0,31,150
56.0,31,150
57.0,32,150
58.0,32,150
59.0,33,150
60.0,33,150
61.0,34,150
62.0,35,150
63.0,35,150
64.0,36,150
65.0,37,150
66.0,37,150
67.0,37,150
68.0,37,150
69.0,38,150
70.0,38,150
71.0,39,150
72.0,39,150
73.0,40,150
74.0,40,150
75.0,41,150
76.0,42,150
77.0,42,150
78.0,42,150
79.0,42,150
80.0,42,150
81.0,42,150
82.0,42,150
83.0,42,150
84.0,42,150
85.0,42,150
86.0,43,150
87.0,43,150
88.0,43,150
89.0,43,150
90.0,43,150
91.0,43,150
92.0,43,150
93.0,43,150
94.0,43,150
95.0,43,150
96.0,43,150
97.0,43,150
98.0,44,150
99.0,44,150
100.0,44,150
101.0,45,150
102.0,45,150
103.0,46,150
104.0,47,150
105.0,47,150
106.0,47,150
107.0,48,150
108.0,48,150
109.0,49,150
110.0,49,150
111.0,50,150
112.0,50,150
113.0,50,150
114.0,50,150
115.0,50,150
116.0,50,150
117.0,50,150
118.0,50,150
119.0,50,150
120.0,50,150
121.0,50,150
122.0,50,150
123.0,51,150
124.0,51,150
125.0,51,150
126.0,51,150
127.0,51,150
128.0,51,150
129.0,51,150
130.0,51,150
131.0,51,150
132.0,51,150
133.0,51,150
134.0,51,150
135.0,52,150
136.0,52,150
137.0,52,150
138.0,52,150
139.0,52,150
140.0,52,150
141.0,52,150
142.0,52,150
143.0,52,150
144.0,52,150
145.0,52,150
146.0,53,150
147.0,53,150
148.0,53,150
149.0,53,150
150.0,53,150
151.0,53,150
152.0,53,150
153.0,53,150
154.0,53,150
155.0,53,150
156.0,53,150
157.0,53,150
158.0,53,150
159.0,53,150
160.0,53,150
161.0,54,150
162.0,54,150
163.0,55,150
164.0,55,150
165.0,56,150
166.0,56,150
167.0,57,150
168.0,58,150
169.0,58,150
170.0,59,150
171.0,59,150
172.0,59,150
173.0,59,150
174.0,60,150
175.0,60,150
176.0,60,150
177.0,60,150
178.0,60,150
179.0,60,150
180.0,60,150
181.0,60,150
182.0,60,150
183.0,60,150
184.0,60,150
185.0,60,150
186.0,61,150
187.0,61,150
188.0,61,150
189.0,61,150
190.0,61,150
191.0,61,150
192.0,61,150
193.0,61,150
194.0,61,150
195.0,61,150
196.0,61,150
197.0,61,150
198.0,61,150
199.0,62,150
200.0,62,150
201.0,62,150
202.0,62,150
203.0,62,150
204.0,62,150
205.0,62,150
206.0,62,150
207.0,62,150
208.0,62,150
209.0,62,150
210.0,62,150
211.0,62,150
212.0,63,150
213.0,63,150
214.0,63,150
215.0,63,150
216.0,63,150
217.0,63,150
218.0,63,150
219.0,63,150
220.0,63,150
221.0,63,150
222.0,63,150
223.0,63,150
224.0,63,150
225.0,63,150
226.0,64,150
227.0,65,150
228.0,65,150
229.0,65,150
230.0,66,150
231.0,66,150
232.0,67,150
233.0,67,150
234.0,68,150
235.0,68,150
236.0,69,150
237.0,69,150
238.0,69,150
239.0,70,150
240.0,70,150
241.0,70,150
242.0,70,150
243.0,70,150
244.0,70,150
245.0,70,150
246.0,70,150
247.0,70,150
248.0,70,150
249.0,70,150
250.0,70,150
251.0,71,150
252.0,71,150
253.0,71,150
254.0,71,150
255.0,71,150
256.0,71,150
257.0,71,150
258.0,71,150
259.0,71,150
260.0,72,150
261.0,72,150
262.0,72,150
263.0,72,150
264.0,72,150
265.0,72,150
266.0,72,150
267.0,72,150
268.0,72,150
269.0,72,150
270.0,72,150
271.0,72,150
272.0,72,150
273.0,72,150
274.0,72,150
275.0,72,150
276.0,73,150
277.0,73,150
278.0,73,150
279.0,73,150
280.0,73,150
281.0,73,150
282.0,73,150
283.0,73,150
284.0,73,150
285.0,73,150
286.0,73,150
287.0,73,150
288.0,73,150
289.0,74,150
290.0,75,150
291.0,75,150
292.0,76,150
293.0,76,150
294.0,77,150
295.0,77,150
296.0,78,150
297.0,78,150
298.0,79,150
299.0,79,150
300.0,79,150
301.0,80,150
302.0,80,150
303.0,80,150
304.0,80,150
305.0,80,150
306.0,80,150
307.0,80,150
308.0,80,150
309.0,80,150
310.0,80,150
311.0,80,150
312.0,80,150
313.0,81,150
314.0,81,150
315.0,81,150
316.0,81,150
317.0,81,150
318.0,81,150
319.0,81,150
320.0,81,150
321.0,81,150
322.0,81,150
323.0,81,150
324.0,81,150
325.0,81,150
326.0,81,150
327.0,82,150
328.0,82,150
329.0,82,150
330.0,82,150
331.0,82,150
332.0,82,150
333.0,82,150
334.0,82,150
335.0,82,150
336.0,82,150
337.0,82,150
338.0,82,150
339.0,83,150
340.0,83,150
341.0,83,150
342.0,83,150
343.0,83,150
344.0,83,150
345.0,83,150
346.0,83,150
347.0,83,150
348.0,83,150
349.0,83,150
350.0,83,150
351.0,83,150
352.0,84,150
353.0,84,150
354.0,85,150
355.0,85,150
356.0,86,150
357.0,87,150
358.0,87,150
359.0,87,150
360.0,88,150
361.0,88,150
362.0,89,150
363.0,90,150
364.0,90,150
365.0,90,150
366.0,90,150
367.0,90,150
368.0,90,150
369.0,90,150
370.0,90,150
371.0,90,150
372.0,90,150
373.0,90,150
374.0,90,150
375.0,91,150
376.0,91,150
377.0,91,150
378.0,91,150
379.0,91,150
380.0,91,150
381.0,91,150
382.0,91,150
383.0,91,150
384.0,91,150
385.0,91,150
386.0,91,150
387.0,91,150
388.0,91,150
389.0,92,150
390.0,92,150
391.0,92,150
392.0,92,150
393.0,92,150
394.0,92,150
395.0,92,150
396.0,92,150
