"tick","Remaining Humans","Remaining Zombies"
1.0,1,150
2.0,2,150
3.0,3,150
4.0,3,150
5.0,3,150
6.0,4,150
7.0,4,150
8.0,5,150
9.0,5,150
10.0,6,150
11.0,7,150
12.0,7,150
13.0,8,150
14.0,8,150
15.0,9,150
16.0,9,150
17.0,10,150
18.0,10,150
19.0,10,150
20.0,10,150
21.0,10,150
22.0,10,150
23.0,10,150
24.0,10,150
25.0,10,150
26.0,10,150
27.0,10,150
28.0,10,150
29.0,10,150
30.0,10,150
31.0,10,150
32.0,10,150
33.0,10,150
34.0,10,150
35.0,10,150
36.0,10,150
37.0,10,150
38.0,11,150
39.0,12,150
40.0,12,150
41.0,12,150
42.0,12,150
43.0,12,150
44.0,12,150
45.0,12,150
46.0,12,150
47.0,12,150
48.0,12,150
49.0,12,150
50.0,12,150
51.0,12,150
52.0,12,150
53.0,12,150
54.0,12,150
55.0,12,150
56.0,12,150
57.0,12,150
58.0,12,150
59.0,12,150
60.0,13,150
61.0,13,150
62.0,13,150
63.0,14,150
64.0,14,150
65.0,14,150
66.0,14,150
67.0,14,150
68.0,14,150
69.0,14,150
70.0,14,150
71.0,14,150
72.0,14,150
73.0,14,150
74.0,14,150
75.0,14,150
76.0,14,150
77.0,14,150
78.0,14,150
79.0,14,150
80.0,14,150
81.0,14,150
82.0,14,150
83.0,14,150
84.0,14,150
85.0,14,150
86.0,14,150
87.0,15,150
88.0,15,150
89.0,16,150
90.0,16,150
91.0,16,150
92.0,16,150
93.0,16,150
94.0,16,150
95.0,16,150
96.0,16,150
97.0,16,150
98.0,16,150
99.0,16,150
100.0,16,150
101.0,16,150
102.0,16,150
103.0,16,150
104.0,16,150
105.0,16,150
106.0,16,150
107.0,16,150
108.0,16,150
109.0,16,150
110.0,16,150
111.0,17,150
112.0,17,150
113.0,18,150
114.0,18,150
115.0,18,150
116.0,18,150
