"tick","Remaining Humans","Remaining Zombies"
1.0,1,150
2.0,2,150
3.0,2,150
4.0,3,150
5.0,3,150
6.0,4,150
7.0,5,150
8.0,5,150
9.0,6,150
10.0,6,150
11.0,7,150
12.0,8,150
13.0,8,150
14.0,9,150
15.0,10,150
16.0,10,150
17.0,11,150
18.0,12,150
19.0,12,150
20.0,12,150
21.0,13,150
22.0,13,150
23.0,14,150
24.0,15,150
25.0,15,150
26.0,16,150
27.0,16,150
28.0,17,150
29.0,17,150
30.0,18,150
31.0,19,150
32.0,19,150
33.0,20,150
34.0,21,150
35.0,22,150
36.0,22,150
37.0,22,150
38.0,23,150
39.0,24,150
40.0,24,150
41.0,24,150
42.0,25,150
43.0,25,150
44.0,26,150
45.0,26,150
46.0,27,150
47.0,27,150
48.0,28,150
49.0,28,150
50.0,29,150
51.0,30,150
52.0,30,150
53.0,31,150
54.0,31,150
55.0,32,150
56.0,32,150
57.0,33,150
58.0,33,150
59.0,34,150
60.0,35,150
61.0,36,150
62.0,36,150
63.0,36,150
64.0,37,150
65.0,37,150
66.0,38,150
67.0,38,150
68.0,39,150
69.0,39,150
70.0,40,150
71.0,40,150
72.0,41,150
73.0,41,150
74.0,42,150
75.0,42,150
76.0,43,150
77.0,43,150
78.0,44,150
79.0,45,150
80.0,46,150
81.0,46,150
82.0,46,150
83.0,47,150
84.0,47,150
85.0,48,150
86.0,49,150
87.0,49,150
88.0,49,150
89.0,50,150
90.0,51,150
91.0,51,150
92.0,52,150
93.0,52,150
94.0,52,150
95.0,53,150
96.0,53,150
97.0,54,150
98.0,54,150
99.0,55,150
100.0,56,150
101.0,57,150
102.0,57,150
103.0,57,150
104.0,57,150
105.0,58,150
106.0,58,150
107.0,59,150
108.0,59,150
109.0,60,150
110.0,61,150
111.0,62,150
112.0,62,150
113.0,62,150
114.0,63,150
115.0,63,150
116.0,63,150
117.0,64,150
118.0,64,150
119.0,65,150
120.0,66,150
121.0,67,150
122.0,67,150
123.0,68,150
124.0,68,150
125.0,69,150
126.0,69,150
127.0,70,150
128.0,70,150
129.0,71,150
130.0,71,150
131.0,72,150
132.0,72,150
133.0,73,150
134.0,74,150
135.0,74,150
136.0,75,150
137.0,75,150
138.0,76,150
139.0,76,150
140.0,76,150
141.0,77,150
142.0,78,150
143.0,78,150
144.0,79,150
145.0,79,150
146.0,80,150
147.0,80,150
148.0,81,150
149.0,81,150
150.0,82,150
151.0,82,150
152.0,83,150
153.0,83,150
154.0,84,150
155.0,84,150
156.0,85,150
157.0,85,150
158.0,86,150
159.0,86,150
160.0,87,150
161.0,88,150
162.0,88,150
163.0,89,150
164.0,89,150
165.0,90,150
166.0,91,150
167.0,91,150
168.0,92,150
169.0,93,150
170.0,94,150
171.0,94,150
172.0,95,150
173.0,95,150
174.0,95,150
175.0,96,150
176.0,97,150
177.0,97,150
178.0,98,150
179.0,98,150
180.0,98,150
181.0,99,150
182.0,99,150
183.0,100,150
184.0,101,150
185.0,101,150
186.0,102,150
187.0,102,150
188.0,103,150
189.0,103,150
190.0,103,150
