"tick","Remaining Humans","Remaining Zombies"
1.0,1,150
2.0,2,150
3.0,2,150
4.0,3,150
5.0,3,150
6.0,4,150
7.0,4,150
8.0,5,150
9.0,5,150
10.0,6,150
11.0,6,150
12.0,7,150
13.0,7,150
14.0,8,150
15.0,8,150
16.0,9,150
17.0,10,150
18.0,10,150
19.0,10,150
20.0,11,150
21.0,11,150
22.0,11,150
23.0,12,150
24.0,12,150
25.0,12,150
26.0,12,150
27.0,13,150
28.0,13,150
29.0,14,150
30.0,14,150
31.0,15,150
32.0,15,150
33.0,16,150
34.0,16,150
35.0,17,150
36.0,17,150
37.0,18,150
38.0,18,150
39.0,19,150
40.0,20,150
41.0,20,150
42.0,20,150
43.0,21,150
44.0,21,150
45.0,21,150
46.0,21,150
47.0,22,150
48.0,22,150
49.0,22,150
50.0,22,150
51.0,23,150
52.0,23,150
53.0,23,150
54.0,23,150
55.0,23,150
56.0,23,150
57.0,23,150
58.0,24,150
59.0,24,150
60.0,24,150
61.0,24,150
62.0,25,150
63.0,25,150
64.0,25,150
65.0,25,150
66.0,25,150
67.0,25,150
68.0,25,150
69.0,26,150
70.0,26,150
71.0,26,150
72.0,26,150
73.0,26,150
74.0,26,150
75.0,26,150
76.0,27,150
77.0,27,150
78.0,27,150
79.0,28,150
80.0,28,150
81.0,28,150
82.0,28,150
83.0,29,150
84.0,29,150
85.0,29,150
86.0,29,150
87.0,29,150
88.0,29,150
89.0,29,150
90.0,29,150
91.0,29,150
92.0,29,150
93.0,29,150
94.0,29,150
95.0,29,150
96.0,29,150
97.0,29,150
98.0,29,150
99.0,29,150
100.0,29,150
101.0,29,150
102.0,29,150
103.0,29,150
104.0,30,150
105.0,30,150
106.0,30,150
107.0,30,150
108.0,30,150
109.0,30,150
110.0,30,150
111.0,30,150
112.0,30,150
113.0,30,150
114.0,30,150
115.0,30,150
116.0,30,150
117.0,31,150
118.0,31,150
119.0,32,150
120.0,32,150
121.0,32,150
122.0,32,150
123.0,32,150
124.0,32,150
125.0,32,150
126.0,32,150
127.0,32,150
128.0,33,150
129.0,33,150
130.0,33,150
131.0,33,150
132.0,33,150
133.0,33,150
134.0,33,150
135.0,33,150
136.0,33,150
137.0,33,150
138.0,33,150
139.0,33,150
140.0,33,150
141.0,33,150
142.0,33,150
143.0,33,150
144.0,33,150
145.0,33,150
146.0,33,150
147.0,33,150
148.0,33,150
149.0,33,150
150.0,33,150
151.0,33,150
152.0,33,150
153.0,33,150
154.0,33,150
155.0,33,150
156.0,33,150
157.0,33,150
158.0,33,150
159.0,33,150
160.0,33,150
161.0,33,150
162.0,33,150
163.0,33,150
164.0,33,150
165.0,33,150
166.0,33,150
167.0,33,150
168.0,34,150
169.0,34,150
170.0,34,150
171.0,34,150
172.0,34,150
173.0,34,150
174.0,34,150
175.0,34,150
176.0,34,150
177.0,34,150
178.0,34,150
179.0,34,150
180.0,34,150
181.0,34,150
182.0,34,150
183.0,34,150
184.0,34,150
185.0,34,150
186.0,34,150
187.0,34,150
188.0,34,150
189.0,34,150
190.0,34,150
191.0,34,150
192.0,34,150
193.0,34,150
194.0,34,150
195.0,34,150
196.0,34,150
197.0,34,150
198.0,34,150
199.0,34,150
200.0,34,150
201.0,34,150
202.0,34,150
203.0,34,150
204.0,34,150
205.0,34,150
206.0,35,150
207.0,35,150
208.0,35,150
209.0,36,150
210.0,36,150
211.0,36,150
212.0,36,150
213.0,36,150
214.0,36,150
215.0,36,150
216.0,36,150
217.0,36,150
218.0,36,150
219.0,36,150
220.0,36,150
221.0,36,150
222.0,36,150
223.0,36,150
224.0,36,150
225.0,36,150
226.0,36,150
227.0,36,150
228.0,36,150
229.0,36,150
230.0,36,150
231.0,36,150
232.0,37,150
233.0,37,150
234.0,37,150
235.0,37,150
236.0,37,150
237.0,37,150
238.0,37,150
239.0,37,150
240.0,37,150
241.0,37,150
242.0,37,150
243.0,37,150
244.0,37,150
245.0,37,150
246.0,37,150
247.0,37,150
248.0,37,150
249.0,37,150
250.0,37,150
251.0,37,150
252.0,37,150
253.0,37,150
254.0,37,150
255.0,37,150
256.0,38,150
257.0,38,150
258.0,38,150
259.0,38,150
260.0,38,150
261.0,38,150
262.0,38,150
263.0,38,150
264.0,38,150
265.0,38,150
266.0,38,150
267.0,38,150
268.0,38,150
269.0,39,150
270.0,39,150
271.0,39,150
272.0,39,150
273.0,39,150
274.0,39,150
275.0,39,150
276.0,39,150
277.0,39,150
278.0,39,150
279.0,39,150
280.0,39,150
281.0,39,150
282.0,39,150
283.0,39,150
284.0,39,150
285.0,39,150
286.0,39,150
287.0,39,150
288.0,39,150
289.0,39,150
290.0,39,150
291.0,39,150
292.0,39,150
293.0,39,150
294.0,39,150
295.0,39,150
296.0,39,150
297.0,39,150
298.0,40,150
299.0,41,150
300.0,41,150
301.0,41,150
302.0,41,150
303.0,41,150
304.0,41,150
305.0,41,150
306.0,41,150
307.0,41,150
308.0,41,150
309.0,41,150
310.0,41,150
311.0,41,150
312.0,41,150
313.0,41,150
314.0,41,150
315.0,41,150
316.0,41,150
317.0,41,150
318.0,41,150
319.0,41,150
320.0,41,150
321.0,42,150
322.0,42,150
323.0,42,150
324.0,42,150
325.0,42,150
326.0,42,150
327.0,42,150
328.0,42,150
329.0,42,150
330.0,42,150
331.0,42,150
332.0,42,150
333.0,42,150
334.0,42,150
335.0,42,150
336.0,42,150
337.0,42,150
338.0,42,150
339.0,42,150
340.0,42,150
341.0,42,150
342.0,42,150
343.0,42,150
344.0,42,150
345.0,42,150
346.0,42,150
347.0,42,150
348.0,42,150
349.0,42,150
350.0,42,150
351.0,42,150
352.0,42,150
353.0,42,150
354.0,42,150
355.0,42,150
356.0,42,150
357.0,42,150
